1754006400000000,115764.07000000,115829.46000000,115308.55000000,115313.01000000,302.15860000,1754007299999999,34925338.77769730,36316,123.60685000,14288190.44258800,0
1754007300000000,115313.01000000,115933.00000000,115313.00000000,115800.01000000,450.53896000,1754008199999999,52146067.73159750,54916,262.13755000,30343169.84972410,0
1754008200000000,115800.00000000,115800.00000000,115423.87000000,115517.98000000,184.42538000,1754009099999999,21319848.36800960,29614,97.91415000,11317267.61618770,0
1754009100000000,115517.99000000,115527.53000000,114313.13000000,115427.27000000,1589.76467000,1754009999999999,182582157.77961340,132601,615.17537000,70643355.14975070,0
1754010000000000,115427.27000000,115609.99000000,114600.00000000,114649.90000000,681.88318000,1754010899999999,78486672.13784110,78240,295.30966000,34001117.66248890,0
1754010900000000,114649.90000000,115271.13000000,114638.65000000,115190.38000000,448.23535000,1754011799999999,51535502.85236910,69806,226.08151000,25995159.93139520,0
1754011800000000,115190.37000000,115413.91000000,115000.00000000,115296.45000000,267.38810000,1754012699999999,30810994.35124630,46275,143.25741000,16506774.89657480,0
1754012700000000,115296.46000000,115407.71000000,115060.11000000,115331.86000000,258.53358000,1754013599999999,29794151.30214640,37950,152.99268000,17632678.40634480,0
1754013600000000,115328.67000000,115600.00000000,115221.07000000,115600.00000000,164.01244000,1754014499999999,18928328.15468340,27924,87.14336000,10059285.28700730,0
1754014500000000,115600.00000000,115810.71000000,115511.60000000,115619.94000000,168.41087000,1754015399999999,19480929.07534030,21721,85.81783000,9927529.73893490,0
1754015400000000,115619.95000000,116019.30000000,115572.53000000,115900.01000000,221.42297000,1754016299999999,25643450.84830380,29377,136.96741000,15861826.77891350,0
1754016300000000,115900.01000000,116019.06000000,115843.42000000,115966.12000000,151.10934000,1754017199999999,17520962.89286540,17132,71.31013000,8268304.65952030,0
1754017200000000,115966.11000000,115990.69000000,115794.14000000,115816.00000000,204.91471000,1754018099999999,23739836.21113660,17916,65.83232000,7626303.80673340,0
1754018100000000,115816.00000000,116052.00000000,115816.00000000,116020.38000000,124.54361000,1754018999999999,14442785.21682120,16298,71.48555000,8289954.06963610,0
1754019000000000,116020.39000000,116035.61000000,115828.61000000,115842.50000000,119.94790000,1754019899999999,13904576.45022180,15422,52.23590000,6055108.11597580,0
1754019900000000,115842.50000000,115894.50000000,115613.21000000,115648.03000000,103.03605000,1754020799999999,11926515.17306870,18543,35.70551000,4132708.59863310,0
1754020800000000,115648.03000000,115648.03000000,115266.64000000,115409.12000000,199.93377000,1754021699999999,23086368.92225920,30246,53.91796000,6225322.86981010,0
1754021700000000,115409.12000000,115559.88000000,115381.04000000,115526.01000000,124.46370000,1754022599999999,14371133.69373170,26409,53.46716000,6172621.95095170,0
1754022600000000,115526.01000000,115627.41000000,115459.35000000,115582.27000000,114.68698000,1754023499999999,13253413.41075120,20888,45.56337000,5265306.85773440,0
1754023500000000,115582.26000000,115699.58000000,115485.46000000,115695.52000000,132.16346000,1754024399999999,15280676.11470270,17862,77.45417000,8955865.19390160,0
1754024400000000,115695.53000000,115916.43000000,115660.00000000,115847.52000000,129.80501000,1754025299999999,15034062.21529680,18324,70.36957000,8149387.43460380,0
1754025300000000,115847.53000000,115847.53000000,115481.14000000,115588.93000000,90.23045000,1754026199999999,10432070.69526310,23965,41.25519000,4768714.41712570,0
1754026200000000,115588.93000000,115754.50000000,115441.18000000,115510.70000000,148.93913000,1754027099999999,17215737.66338080,24639,55.43191000,6407114.40725330,0
1754027100000000,115510.70000000,115660.37000000,115385.92000000,115568.00000000,142.21740000,1754027999999999,16428169.81442420,22879,72.69607000,8397653.72124280,0
1754028000000000,115568.00000000,115658.09000000,115408.17000000,115424.00000000,130.08858000,1754028899999999,15030796.04735790,26063,53.08798000,6133730.38393050,0
1754028900000000,115423.99000000,115497.62000000,115242.37000000,115258.00000000,124.74009000,1754029799999999,14393503.73375600,21649,44.58372000,5144540.26497240,0
1754029800000000,115258.00000000,115328.48000000,115078.16000000,115084.16000000,208.43065000,1754030699999999,24009140.59322470,27394,80.55851000,9279343.14440150,0
1754030700000000,115084.17000000,115203.13000000,115065.55000000,115156.51000000,166.13786000,1754031599999999,19128986.25519070,21499,71.59478000,8243011.63633710,0
1754031600000000,115156.52000000,115300.00000000,114880.00000000,114974.68000000,277.64623000,1754032499999999,31948089.08043130,34698,100.40695000,11555683.61655890,0
1754032500000000,114974.69000000,115133.21000000,114810.43000000,114840.96000000,288.03460000,1754033399999999,33107403.50584210,28745,112.80333000,12967344.61812260,0
1754033400000000,114840.96000000,114887.07000000,114633.18000000,114772.90000000,350.55907000,1754034299999999,40222498.46490320,35046,200.65335000,23022425.07886930,0
1754034300000000,114772.91000000,115098.81000000,114728.38000000,115081.77000000,324.43036000,1754035199999999,37257485.58819100,30809,211.56475000,24296919.24261290,0
1754035200000000,115081.76000000,115081.76000000,114414.74000000,114670.46000000,411.38919000,1754036099999999,47180253.74050290,46255,167.28095000,19189555.68184310,0
1754036100000000,114670.46000000,114768.69000000,114349.90000000,114430.30000000,379.27114000,1754036999999999,43429536.77801980,42465,187.48369000,21472012.05512970,0
1754037000000000,114430.31000000,114640.00000000,114116.00000000,114590.88000000,460.71690000,1754037899999999,52690736.63278750,49771,202.31071000,23142645.81870000,0
1754037900000000,114590.88000000,114780.00000000,114560.00000000,114615.99000000,181.18342000,1754038799999999,20786024.40579890,24065,107.82687000,12370776.64891940,0
1754038800000000,114615.98000000,115112.99000000,114555.41000000,115004.76000000,302.81005000,1754039699999999,34813957.12787430,34520,152.03576000,17477204.74161570,0
